transcript_id	RNAi_1	RNAi_3	RNAi_4	Untreated_1	Untreated_3	Untreated_4
FBtr0070189	8	8	6	9	6	7
FBtr0070195	0	0	0	0	0	0
FBtr0070197	127.66	35.8	87.91	78.91	48	36
FBtr0070198	1	0	0	3.78	0	0
FBtr0070199	0	0	0	1	0	1
FBtr0070200	4	0	1	1	1	0
FBtr0070201	3	2	2	1	0	2
FBtr0070202	1	0	0	4	1	2
FBtr0070203	20	9	15	22	3	6
FBtr0070204	6	1	1	4	1	0
FBtr0070205	0	0	0	0	0	5
FBtr0070206	95.65	34.38	29.79	100.54	29.74	23.05
FBtr0070207	152	49	88	329	92	100
FBtr0070209	875	257.72	297.01	816.41	342	318
FBtr0070211	20.89	0	21	5.32	4.81	5.49
FBtr0070212	736	326	450	1016.99	402	362
FBtr0070213	22	10	28	36	7	14
FBtr0070215	1440.19	679.91	484.86	1283.04	727.74	550.99
FBtr0070216	813.77	386.92	571.21	1225.47	565.13	509.65
FBtr0070217	238.72	93.08	70.79	234.53	57.87	136.35
FBtr0070218	29.51	0	0	0	0	0
FBtr0070219	17.17	0	0	0	0	0
FBtr0070222	14.2	0	8.16	0	0	12.29
FBtr0070225	892.89	292.02	472.86	1111.79	390.1	339.18
FBtr0070230	952	465	659	1069	543	488
FBtr0070231	79	35	65	103	32	38
FBtr0070233	351	137	182	518	151	159
FBtr0070234	183	85	140	161	69	56
FBtr0070235	659.4	498.48	691.65	540.56	506.52	533.47
FBtr0070236	229.58	169	181	119.78	126.36	135
FBtr0070237	0	0	0	0	0	0
FBtr0070238	0	0	0	0	0	0
FBtr0070239	1233.82	480.79	611.17	912.28	200.77	332.31
FBtr0070241	38.93	14.34	19.33	0	0	0
FBtr0070244	266.43	45.2	47.94	114.57	51.5	46
FBtr0070245	427	150	193	429	138	152
FBtr0070249	181.22	26.24	10.36	230.32	32.05	13.76
FBtr0070250	73.56	21.14	30.74	52.74	25.73	20.41
FBtr0070251	2	0	0	5	1	0
FBtr0070252	1	0	0	0	0	0
FBtr0070253	0	0	0	0	3.74	1.3
FBtr0070254	16.53	4	7	33.16	1	5
FBtr0070255	0	0	0	0	0	0
FBtr0070256	630	214.27	319.43	484.78	154.67	179.8
FBtr0070257	67	23	55	124	75	71
FBtr0070258	88.96	53.23	54.17	124.97	15.79	68.54
FBtr0070259	7335.75	3619.35	4731	8884.33	4011.37	3679.36
FBtr0070260	277.76	45.09	128.59	212.21	60.02	94.57
FBtr0070261	34.79	57.37	120.96	70.52	56.42	103.18
FBtr0070262	0	0	0	0	0	0
FBtr0070263	511.59	85.99	98.34	451.72	110.15	77.24
FBtr0070265	15.82	95.71	39.16	105.55	129.81	121.31
FBtr0070266	0	116.53	125.07	0	0	0
FBtr0070269	1525	679	981	1909	766	712
FBtr0070270	1798.83	829.48	1047.67	1943.23	686.64	682.86
FBtr0070272	138	60	88	148	57	66
FBtr0070277	1270.31	98.21	91.85	968.5	42.16	66.25
FBtr0070278	0	0	0	1	0	0
FBtr0070279	551.42	161.97	297.78	606.52	194.04	180.55
FBtr0070283	643.36	326.76	371.56	661.19	245.67	275.22
FBtr0070284	134.29	0	0	201.8	53.21	18.95
FBtr0070285	0	0	0	1.78	0	0
FBtr0070288	0	0	0	0	0	18.36
FBtr0070289	287.18	71.15	14.87	329.99	12.44	64.52
FBtr0070290	64688.86	56756.73	74218.26	35770.21	41125.5	60445.76
FBtr0070293	0	0	0	0	0	0
FBtr0070294	230	111	135	270	123	93
FBtr0070295	53	13	25	50	27	13
FBtr0070296	842	502	620	1092	587	551
FBtr0070297	932.67	443.67	554.68	953.6	472.95	456.55
FBtr0070298	27	21	20	32	12	17
FBtr0070299	0	65.29	38.8	0	0	0
FBtr0070300	0	0	0	0	0	0
FBtr0070301	1	0	0	0	1	0
FBtr0070308	805	317	402.12	761.89	260	301
FBtr0070310	1270.92	515.57	597.67	1191.23	515.42	488.97
FBtr0070311	2915.45	1132.71	1560.58	4030.73	1213.63	1117.84
FBtr0070312	1553.63	599	806	1653.39	611	633
FBtr0070313	3.93	0	6.74	7.84	6.74	3.4
FBtr0070314	748.2	349.29	486.38	832.98	324.05	332.88
FBtr0070315	1704.31	789	1013	1907	800	752
FBtr0070316	985.11	901.11	1229.04	1630.74	1233.78	1029.68
FBtr0070317	2214.45	1199	1702	3350.61	1295	1120.45
FBtr0070318	1410.73	456.72	677.11	993.91	378.17	369.42
FBtr0070319	121.04	40.35	0	493.36	36.61	31.16
FBtr0070320	0	0	0	0	0	0
FBtr0070321	235	94	131	207	84	83
FBtr0070326	1036.63	691.3	1436.11	2889.44	1247.73	843.37
FBtr0070328	38	11	14	39	12	9
FBtr0070330	291.04	0	50.91	150.17	150.02	67.82
FBtr0070331	1054.99	460	569	1108	429	478
FBtr0070334	3250.7	1430.24	2022.05	5534.15	2065.88	2323.39
FBtr0070335	193.98	38.67	66.53	246.98	73.8	61.42
FBtr0070336	326.77	47.78	135.85	140.53	56.01	73.43
FBtr0070337	188.33	109.31	162.57	287.96	239.3	183.73
FBtr0070338	68	20	13	63	10	13
FBtr0070339	2376	1057	1582	2566	1087	1022
FBtr0070340	398.13	151	242	517.04	272	194
FBtr0070341	0	0	12.16	0	0	0
FBtr0070342	6.08	1	2.75	8	0.7	1.43
FBtr0070343	0	0	0	0	0	0
FBtr0070344	1483.78	759.4	975.25	1151.77	794.67	767.78
FBtr0070345	0	11.21	6.72	9.42	12.69	0
FBtr0070346	1709.66	702.64	1042.67	2138.28	875.41	845.86
FBtr0070347	1899	699	1016	1561	598	693
FBtr0070349	463	150	170	386	102	109
FBtr0070350	1844	892.37	1310.97	1808.95	865.53	791.27
FBtr0070351	251.69	166.63	151.03	32.05	60.47	151.73
FBtr0070352	86.72	10.96	11.38	45.12	10.7	0
FBtr0070353	726.97	391.18	503.59	605.26	559.88	287.8
FBtr0070354	50.74	0	36.33	117.98	34.22	16.28
FBtr0070355	85	31	43	97	36	32
FBtr0070356	540.2	182.53	295.85	399.28	133.8	176.63
FBtr0070362	3742.78	1472.79	1845	4841.97	1841.92	1510
FBtr0070363	0	40.21	0	0	35.08	0
FBtr0070364	858.39	271.74	403	684.89	218.8	273.42
FBtr0070365	601.27	231.65	315.25	887.16	193.52	263.92
FBtr0070366	812.42	403.78	559.29	852.3	378.81	308.75
FBtr0070367	154.96	53.01	71.71	197.22	53.69	52.93
FBtr0070368	531.12	234.42	327.61	588.12	288.89	275.8
FBtr0070369	453.84	21.05	109.25	517.77	71.73	117.62
FBtr0070370	368.48	357.95	372.75	522.23	271.27	191.87
FBtr0070371	1915.1	804.78	1353.48	2220.83	889.24	587.54
FBtr0070372	674.87	142.71	236.26	856.12	112.91	212.25
FBtr0070374	0	2	0	5	0	0
FBtr0070375	1438.03	530	764	1424.39	545	665
FBtr0070376	1361.76	343.6	445.92	300.72	659.56	500.06
FBtr0070377	1901.92	1028.1	1329.29	3559.72	794.35	845.72
FBtr0070378	725.95	317.95	341.89	1088.24	404.39	316.4
FBtr0070379	260.13	60.61	125.26	407.9	144.95	129.44
FBtr0070380	218.52	0	77.56	0	0.02	8.7
FBtr0070381	807.02	379.72	593.66	1132.21	643.62	653.05
FBtr0070382	31.14	20.02	9.47	72.01	10.94	0
FBtr0070383	71.84	36.26	25.87	137.77	29.44	17.95
FBtr0070384	57.17	0	15.09	16.32	0	0
FBtr0070385	0	0	0	2.34	0	0
FBtr0070386	607.03	258.11	394.1	693.82	239.64	240.1
FBtr0070387	46.42	26.44	36.88	75.99	29.5	21.6
FBtr0070388	103	37	59	117	30	33
FBtr0070389	269.04	77	107	226.81	96	85
FBtr0070390	399	128.78	208.82	389.97	116.81	157
FBtr0070392	260	113	150	110	39	46
FBtr0070393	148	63	87	550	201	193
FBtr0070396	564	152	162	715	152	139
FBtr0070397	12	5	8	23	8	2
FBtr0070398	743.68	274	365	872.47	322	346
FBtr0070399	13	6	9	44	14	12
FBtr0070401	1084.33	351.86	517.94	986.74	345	362
FBtr0070402	773.77	132.04	263.55	1273.85	197.87	198.27
FBtr0070403	217.99	38.35	13.92	169.49	39.7	5.68
FBtr0070404	171.1	0	0	36.08	0	0
FBtr0070405	273.71	142.68	207.73	173.01	143.28	125.7
FBtr0070406	623.51	153.9	188.86	1208.64	288.59	267.19
FBtr0070407	11.68	0	6.23	27.6	1.81	6.2
FBtr0070408	524.9	180.54	278.81	819.98	265.4	229.58
FBtr0070411	6888.15	2954.01	3963.18	10652.86	3491.56	3447.76
FBtr0070412	366.12	100.22	123.42	738.77	374.11	86.01
FBtr0070414	262.28	69.44	122.43	379	133.24	69.58
FBtr0070415	55.69	12	22.81	0	11.9	6.93
FBtr0070416	637.13	262.28	301.79	1002.42	296.57	357.52
FBtr0070417	26.99	15.92	23.83	89.83	23.73	0
FBtr0070418	1314	535	783	1412	581	536
FBtr0070419	0	0	0	0	0	0
FBtr0070420	4178.78	1796	2294.45	5461	2408	1923
FBtr0070421	8.69	3.23	0	1.44	1	0
FBtr0070422	1.6	0	0	4.62	4	5
FBtr0070423	2	2	0	8	2	1
FBtr0070424	0	0	0	1	0	0
FBtr0070425	1217.96	477	692	1583.19	469	589
FBtr0070426	24	10	14	0	11	17
FBtr0070427	71.08	34.17	49.61	89.51	47.85	49.08
FBtr0070428	52.92	16.83	17.39	59.49	26.15	13.92
FBtr0070429	1512.74	870.23	1049.74	2631.41	1082.33	852.7
FBtr0070430	743.53	301.77	326.26	719.64	301.15	258.3
FBtr0070431	817.53	252	349	840	192	235
FBtr0070432	512.6	170.62	281.91	625.89	348.46	109.59
FBtr0070433	179.95	146.59	60.32	81.06	127.6	170.78
FBtr0070434	1604.97	794	1089	1773.61	823	767
FBtr0070435	13.68	0	25.86	0	51.82	25.97
FBtr0070436	30.73	6.31	16.49	10.67	8.61	0
FBtr0070437	0	0	0	4.4	6	0
FBtr0070438	528.47	408.51	639.02	988.08	518.93	551.42
FBtr0070439	1755.6	397.18	563.44	1758.05	415.86	343.46
FBtr0070440	619.96	151.77	188	473.37	159.53	125.06
FBtr0070441	1897.68	856	1232	1696.85	788	785
FBtr0070442	495.6	222	282	499	234	235
FBtr0070445	384.6	421.64	567.51	663.86	372.07	435.21
FBtr0070446	8048	3508	5216	11216	3795	4090
FBtr0070447	487.32	252	384	502.15	220	233
FBtr0070448	759.57	149.37	159.06	502.76	129.3	89.71
FBtr0070457	1194.59	427.83	536.89	2846.45	1056.11	845.86
FBtr0070458	147.89	43.11	83.72	49.56	0	19.19
FBtr0070459	471.85	168.3	231.61	497.97	136.25	141.86
FBtr0070460	61.86	16	37	102.49	31	28
FBtr0070461	0	0	0	0	0	0
FBtr0070462	0	0	0	0	0	0
FBtr0070466	48.47	70.15	0	987.37	62.01	105.05
FBtr0070467	0	0	0	0	0	0
FBtr0070468	683.86	244.68	367.16	153.5	297.07	286.62
FBtr0070469	1723.86	297.84	424.14	1925.54	414.44	236.97
FBtr0070470	0	0	0	0	0	0
FBtr0070471	693.71	419.59	633.48	618.05	664.19	414.19
FBtr0070472	0	0	0	0	0	0
FBtr0070473	0	0	0	0	0	0
FBtr0070474	31.32	14.58	4.78	47.36	6.78	25.01
FBtr0070475	372.19	131.48	191.24	259.01	154.05	122.31
FBtr0070476	0	0	0	0	0	0
FBtr0070477	43.14	7.62	0	0	0	19.94
FBtr0070478	151.19	69.73	116	187.3	50.78	79
FBtr0070479	1001	438	605	896	374	430
FBtr0070480	470	226	280	518	229	209
FBtr0070481	538.98	210.92	107.46	364.72	232.49	135.33
FBtr0070482	129.05	74.08	182.67	278.26	23.51	69.94
FBtr0070484	1140	485	621	825	369	339
FBtr0070485	50.01	22	29	32	27	20
FBtr0070486	50	27	27	33	12	10
FBtr0070487	716	383	526	804	380	358
FBtr0070488	326.15	134	158	347.49	126	109
FBtr0070489	3	0	1	1	0	0
FBtr0070490	152	58	81	93	26	60
FBtr0070491	144.91	52.77	52.69	116.04	46.11	78.5
FBtr0070492	16.87	0	0	0	0	0
FBtr0070493	21.78	0	0	86.92	0	14.84
FBtr0070494	720.77	227.91	236.75	436.53	180.96	158.82
FBtr0070495	1435.22	622.51	794.38	1367.29	524.19	514.59
FBtr0070496	379.63	167.49	216.62	604.22	281.81	228.41
FBtr0070497	2377.55	1357.72	2061.81	3380.64	1467	1373
FBtr0070498	1055	554	774	1125	479	497
FBtr0070499	404	153	202	475	189	134
FBtr0070501	721.61	274.21	410.48	752.28	341.25	345.18
FBtr0070502	2656.95	1167.13	1728.4	2491.88	1115	1027.73
FBtr0070504	23	8	10	15.45	5	5
FBtr0070505	11	4	5	9.1	8	3
FBtr0070506	10	7	4	16	10	6
FBtr0070507	975.22	55.53	110.97	900.02	92.5	55.54
FBtr0070508	4.83	0	12.21	0	0	0
FBtr0070509	40.28	16.78	12.6	31.56	28.71	17.66
FBtr0070511	141.81	0	0.05	0	1.78	53.01
FBtr0070512	447.06	215.23	275.05	723.41	302.26	178.22
FBtr0070513	0	0	57.39	0	4.21	0
FBtr0070515	82.18	50.2	28.85	578.69	74.65	127.54
FBtr0070517	29.73	51.2	77.67	46	33.53	26.21
FBtr0070518	85.77	0	0	12.22	0	0
FBtr0070519	263.83	65.11	59.5	256.58	63.27	51.69
FBtr0070520	39.5	36.6	49.03	61.05	11.84	41.02
FBtr0070521	20.92	0	0	20.91	3.23	3.6
FBtr0070522	38.04	16.31	21.27	38.66	6.86	4.13
FBtr0070523	0	0	0	0	0	0
FBtr0070525	3097.78	1100.6	1648.1	4484.42	1583.15	1278.78
FBtr0070526	73.47	23	43	184	54	30
FBtr0070527	0	16.91	0	38.87	0	0
FBtr0070528	393.17	67.03	194.51	429.84	94.29	109.12
FBtr0070529	300.47	169.29	161.01	324.53	174.01	118.1
FBtr0070530	66.48	23	0	7.69	35	0
FBtr0070531	155	35	45	100	22	27
FBtr0070532	0	0	0	8.48	0	0
FBtr0070534	0	0	3.14	0	0	2
FBtr0070536	15	1	4	16	3	2
FBtr0070537	0	0	0	0	0	0
FBtr0070538	0	0	0	0	0	0
FBtr0070539	0	0	0	0	0	0
FBtr0070540	0	0	0	0	0	0
FBtr0070541	0	0	0	0	0	0
FBtr0070542	6	1	5	13	2	4
FBtr0070543	184.68	57.67	71.8	250.54	40.59	49
FBtr0070546	9	0	0	0	0	0
FBtr0070550	6	5	4	11	2	2
FBtr0070551	3	0	0	0	1	0
FBtr0070552	0	0	1	2	0	0
FBtr0070553	7	8	3	11	4	1
FBtr0070554	1	0	1	0	1	0
FBtr0070555	1	0	0	1	0	1
FBtr0070556	0	0	0	0	0	0
FBtr0070557	0	0	0	0	0	0
FBtr0070558	40.93	10.29	26.12	47.34	17.27	23
FBtr0070559	26.37	0	0	21	0	0
FBtr0070560	0	1	3	0	1	6
FBtr0070561	0	0	0	0	0	0
FBtr0070562	20.67	16	16	13.43	10	12
FBtr0070563	2	1	0	2	0	0
FBtr0070564	4	2	1	1	0	1
FBtr0070565	0	0	0	0	0	0
FBtr0070566	1	0	0	0	0	0
FBtr0070567	3	0	0	2	0	0
FBtr0070568	1236	362	528.59	799.03	307	314
FBtr0070569	208.01	132.23	231.73	226.05	136.16	96.68
FBtr0070570	0	1	8	16	12	4
FBtr0070571	23	0	0	0	0	0
FBtr0070575	18.99	0	0	0	0	0
FBtr0070577	0	0	0	1	0	0
FBtr0070578	0	0	0	0	13.72	0
FBtr0070579	0	0	0	0	30.58	0
FBtr0070582	207.88	105.45	173.69	392.91	204.51	185.59
FBtr0070583	439.99	42.36	106.81	587.38	148.49	143.54
FBtr0070584	352.14	82.19	64.5	270.71	0	18.87
FBtr0070586	676.6	159.71	217.11	702.41	172.53	177.13
FBtr0070587	0	6.7	0	20.65	17.67	8.77
FBtr0070588	7.38	2.62	0	10.65	0	0
FBtr0070589	8.21	8	8	0	13	7
FBtr0070590	240	93	92	252	72	73
FBtr0070591	46.67	0	0	0	10.87	0
FBtr0070592	0	11	0	9.13	0	0
FBtr0070596	495.63	95.64	95.76	358.26	152.93	59.98
FBtr0070597	624.75	165.32	150.39	1046.23	156.68	72.43
FBtr0070598	50.06	0	0	0	0	48.43
FBtr0070599	35.27	0	1.32	34.18	0	0
FBtr0070600	1272.51	447.2	617.16	958.84	313.03	248.34
FBtr0070605	1	0	0	0	0	0
FBtr0070606	0	0	0	0	0	0
FBtr0070608	4.17	2.54	1.89	4.77	2.4	1.91
FBtr0070609	183.76	0	50.03	73.91	53.52	73.42
FBtr0070610	84.39	111.06	75.19	96.62	27.05	0
FBtr0070611	3302	1343	1953	3395	1361	1509
FBtr0070612	2	1	0	4.47	0	1
FBtr0070613	327.66	82.52	148.03	109.76	89.94	63.72
FBtr0070616	4585.07	1078.22	1513.56	4610.52	1176.27	1065.91
FBtr0070617	0	0	0	0	3.56	0
FBtr0070618	309.3	39.78	58.44	294.23	41.17	41.09
FBtr0070624	0	0	1	3	0	0
FBtr0070625	453	186	261	456	203	188
FBtr0070626	2670.07	501.27	743.6	2835.68	968.93	602.88
FBtr0070627	1652.43	664.39	833.3	1754.53	845.89	798.02
FBtr0070638	276	105	145	334	135	144
FBtr0070639	1683.86	503.41	692.7	1330.16	333.55	335.14
FBtr0070640	24.18	0	4.8	0	0	0
FBtr0070641	115.98	2.4	0	153.06	6.19	7.6
FBtr0070642	250.79	97.33	141.88	318.31	91	98.49
FBtr0070643	596.93	268.11	197.41	113.61	301.82	134.02
FBtr0070644	797	347	478	983	398	361
FBtr0070645	15	7	4	7	5	4
FBtr0070646	2	0	1	1	2	0
FBtr0070647	8	1	0	5	1	3
FBtr0070648	944	261.03	443	1016	325	272.06
FBtr0070650	651.31	143.17	170.38	339.64	183.5	209.5
FBtr0070651	0	0	0	0	0	0
FBtr0070652	1337	565	749	1657	674	693
FBtr0070654	9	1	3	7	0	0
FBtr0070655	311	68	88	281	66	84
FBtr0070656	61.99	0	0	0	29.81	0
FBtr0070657	0	7	12	11	5	6
FBtr0070658	6	1	0	0	1	1
FBtr0070659	5	0	1	2	1	0
FBtr0070660	8	1	2	4	2	0
FBtr0070661	4	0	1	6	1	0
FBtr0070663	4	1	1	1	0	2
FBtr0070664	0	0	1	0	0	0
FBtr0070665	0	0	0	0	0	0
FBtr0070666	18.53	23.27	85.89	61.91	39.49	21.53
FBtr0070667	233.82	39.55	54.7	160.95	37.58	15.22
FBtr0070668	469.66	65.04	64.28	192.43	66.98	49.61
FBtr0070669	855	410	579	981	412	420
FBtr0070670	346	154	212	433	158	153
FBtr0070671	1083.66	397	554	934.67	347	369.29
FBtr0070672	0	0	2	0	1	0
FBtr0070674	3.03	0	0.47	0	3	0
FBtr0070675	2183.5	1086	1557	2734.4	1025	1121
FBtr0070676	48	9	25	64	20	15
FBtr0070677	47	15	12	26	9	11
FBtr0070678	344	131	183	356	121	153
FBtr0070679	1	1	2	3.01	2	1
FBtr0070680	85.97	82.61	130.98	99.26	60.1	53.31
FBtr0070681	763	341	502	784	291	261
FBtr0070682	484.66	137	217	581.55	141	169
FBtr0070683	2003.32	820.91	1136.43	2206.2	821.41	859.01
FBtr0070684	376.68	80.09	27.57	145.79	40.59	41.99
FBtr0070685	2353.97	1201.32	1576.39	4139.43	1615.96	1346.54
FBtr0070686	748	292	377	710	291	269
FBtr0070687	0	0	0	0	0	0
FBtr0070688	2.03	1	0	0	0	0
FBtr0070689	43	11	15	27	16	12
FBtr0070690	1950.2	672.71	947.75	2612.13	693.83	769.66
FBtr0070691	0.5	0.5	0	0.5	0	0
FBtr0070692	0	0	0	0	0	0
FBtr0070693	0	0	0	0	0	0
FBtr0070696	0	7.46	0	11.58	7.97	0
FBtr0070697	0	0	0	0	0	0
FBtr0070698	1192	345	508	1472.84	432	381
FBtr0070699	878	361	454	817	271	305
FBtr0070701	135.79	71.79	125	245.11	81	70.8
FBtr0070702	989.62	151.9	179.58	468.67	210.33	181.16
FBtr0070704	0	0	0	6.05	0	0
FBtr0070706	8751.91	2576.71	3893.85	10533.74	2721.65	2796.18
FBtr0070707	293.72	46.25	45.54	313.93	29.72	47.51
