Id	SSD011MYUN	SSD090MYUN	SSD094EPIN	SSD097EPIN	SSD148EPIN	SSD092EPUN	SSD149EPUN	SSD159EPUN	SSD163EPUN	SSD016MYIN	SSD110MYIN	SSD120MYIN	norm.SSD011MYUN	norm.SSD090MYUN	norm.SSD094EPIN	norm.SSD097EPIN	norm.SSD148EPIN	norm.SSD092EPUN	norm.SSD149EPUN	norm.SSD159EPUN	norm.SSD163EPUN	norm.SSD016MYIN	norm.SSD110MYIN	norm.SSD120MYIN	baseMean	MYUN	EPIN	EPUN	MYIN	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
gene20165	34	21	172	332	273	29	106	127	110	188	286	211	31	19	156	330	304	37	127	111	165	142	254	233	159.07	25	263	110	210	8.361	3.064	0.000130814863227584	0.029101275727244	0.2724	0.3362
gene28176	197	195	925	1142	579	601	748	360	332	547	1215	831	181	175	839	1134	644	761	899	315	497	414	1079	919	654.69	178	872	618	804	4.523	2.177	0.000142936404875546	0.0308486629029909	0.157	0.1643
gene17680	281	238	1621	1156	377	549	548	865	656	833	1969	760	258	213	1470	1148	420	696	658	758	981	630	1749	840	818.37	236	1013	773	1073	4.558	2.188	0.000154148256871123	0.0323041129616876	0.1606	0.1454
gene21154	618	590	1942	1944	1368	1226	1135	1880	1311	1719	2364	1095	566	529	1761	1930	1523	1553	1364	1647	1961	1300	2100	1211	1453.69	548	1738	1631	1537	2.807	1.489	0.00017766303636008	0.0347163176454967	0.081	0.1192
gene7948	567	702	1435	1626	1121	1484	1891	1917	1126	1198	3962	1542	520	629	1301	1614	1248	1880	2272	1679	1684	906	3520	1705	1579.85	574	1388	1879	2044	3.558	1.831	0.000183421499775077	0.0350086879058832	0.1197	0.1179
gene30817	26	13	143	352	190	41	84	186	92	84	238	220	24	12	130	349	211	52	101	163	138	64	211	243	141.48	18	230	114	173	9.673	3.274	0.000193152298950389	0.0360156208922381	0.3187	0.3561
gene6839	578	513	635	620	618	455	418	671	411	1138	2538	1655	530	460	576	616	688	576	502	588	615	861	2255	1830	841.23	495	627	570	1649	3.331	1.736	0.000202271476054601	0.0365605692968692	0.1098	0.1434
gene21932	29	22	936	871	456	422	630	392	268	125	167	74	27	20	849	865	508	535	757	343	401	95	148	82	385.67	24	741	509	108	4.662	2.221	0.000212170494727691	0.0373403133252869	0.1573	0.2224
gene12193	0	0	115	88	154	61	54	158	170	4	11	14	0	0	104	87	171	77	65	138	254	3	10	15	77.18	0	121	134	9	75.276	6.234	0.000248691972539101	0.0408646127604023	0.4448	0.5165
gene2624	1546	2124	1841	1821	1588	1342	1081	1332	794	5959	6295	3087	1417	1903	1670	1808	1767	1700	1299	1167	1188	4507	5592	3413	2285.81	1660	1748	1338	4504	2.714	1.44	0.000241734434658024	0.0408646127604023	0.08	0.1175
gene9191	44	41	1555	1093	780	1305	2119	994	689	224	372	68	40	37	1410	1085	868	1653	2546	871	1031	169	330	75	843.04	38	1121	1525	191	4.968	2.313	0.000246341402515501	0.0408646127604023	0.1811	0.1433
gene11915	578	934	548	367	372	221	254	339	404	1857	3710	2425	530	837	497	364	414	280	305	297	604	1404	3296	2681	959.11	684	425	372	2460	3.6	1.848	0.000269338193050294	0.0437598906910927	0.1285	0.1348
gene27170	42	10	89	207	95	162	199	193	112	230	163	185	38	9	81	206	106	205	239	169	168	174	145	205	145.3	24	131	195	175	7.323	2.873	0.000275415973665043	0.044250166435517	0.2689	0.3515
gene23487	381	547	1917	1829	1022	1348	1533	1026	640	1295	2838	943	349	490	1738	1816	1137	1708	1842	899	957	979	2521	1043	1290	420	1564	1352	1514	3.608	1.851	0.000315529168598172	0.0469853627201474	0.1315	0.1219
gene6966	77	94	751	1485	659	388	395	422	291	342	463	206	71	84	681	1474	733	492	475	370	435	259	411	228	476.04	78	963	443	299	3.863	1.95	0.000318252455953251	0.0469853627201474	0.1403	0.1976
gene9569	746	389	1049	953	1303	1146	1060	2331	866	4112	1883	785	684	348	951	946	1450	1452	1274	2042	1295	3110	1673	868	1341.1	516	1116	1516	1884	3.65	1.868	0.000329142107808005	0.0473296066061786	0.1347	0.1209
gene23850	430	467	726	684	466	251	330	711	229	1767	2206	779	394	418	658	679	519	318	397	623	343	1336	1960	861	708.81	406	619	420	1386	3.411	1.77	0.000343409011398225	0.0477470606232532	0.1225	0.157
