gene_id	transcript_id(s)	length	effective_length	expected_count	TPM	FPKM
FBtr0070052	FBtr0070052	1059.00	887.72	820.88	133.48	111.33
FBtr0070053	FBtr0070053	2418.00	2246.72	0.00	0.00	0.00
FBtr0070054	FBtr0070054	2034.00	1862.72	0.00	0.00	0.00
FBtr0070055	FBtr0070055	1060.00	888.72	1.14	0.18	0.15
FBtr0070056	FBtr0070056	1838.00	1666.72	3.30	0.29	0.24
FBtr0070057	FBtr0070057	1995.00	1823.72	0.00	0.00	0.00
FBtr0070058	FBtr0070058	3132.00	2960.72	2998.79	146.20	121.95
FBtr0070059	FBtr0070059	3252.00	3080.72	53.81	2.52	2.10
FBtr0070060	FBtr0070060	3228.00	3056.72	0.00	0.00	0.00
FBtr0070061	FBtr0070061	3264.00	3092.72	18.22	0.85	0.71
FBtr0070062	FBtr0070062	3129.00	2957.72	170.19	8.31	6.93
FBtr0070063	FBtr0070063	6538.00	6366.72	316.51	7.18	5.99
FBtr0070064	FBtr0070064	2054.00	1882.72	172.00	13.19	11.00
FBtr0070065	FBtr0070065	2110.00	1938.72	0.00	0.00	0.00
FBtr0070066	FBtr0070066	3352.00	3180.72	1.00	0.05	0.04
FBtr0070067	FBtr0070067	3376.00	3204.72	0.00	0.00	0.00
FBtr0070068	FBtr0070068	3402.00	3230.72	0.00	0.00	0.00
FBtr0070069	FBtr0070069	1055.00	883.72	1.00	0.16	0.14
FBtr0070070	FBtr0070070	1188.00	1016.72	40.00	5.68	4.74
FBtr0070071	FBtr0070071	2038.00	1866.72	145.00	11.21	9.35
FBtr0070072	FBtr0070072	917.00	745.72	0.00	0.00	0.00
FBtr0070073	FBtr0070073	1438.00	1266.72	0.00	0.00	0.00
FBtr0070074	FBtr0070074	1097.00	925.72	0.00	0.00	0.00
FBtr0070075	FBtr0070075	2430.00	2258.72	0.00	0.00	0.00
FBtr0070076	FBtr0070076	743.00	571.73	0.00	0.00	0.00
FBtr0070077	FBtr0070077	532.00	360.75	1.72	0.69	0.57
FBtr0070078	FBtr0070078	517.00	345.75	15.50	6.47	5.40
FBtr0070079	FBtr0070079	2345.00	2173.72	44.00	2.92	2.44
FBtr0070080	FBtr0070080	1119.00	947.72	0.00	0.00	0.00
FBtr0070081	FBtr0070081	5890.00	5718.72	0.00	0.00	0.00
FBtr0070084	FBtr0070084	5904.00	5732.72	0.00	0.00	0.00
FBtr0070085	FBtr0070085	3144.00	2972.72	190.11	9.23	7.70
FBtr0070086	FBtr0070086	3130.00	2958.72	0.00	0.00	0.00
FBtr0070087	FBtr0070087	5828.00	5656.72	0.00	0.00	0.00
FBtr0070088	FBtr0070088	1243.00	1071.72	92.82	12.50	10.43
FBtr0070089	FBtr0070089	1689.00	1517.72	77.82	7.40	6.17
FBtr0070090	FBtr0070090	1790.00	1618.72	10.17	0.91	0.76
FBtr0070091	FBtr0070091	2505.00	2333.72	62.80	3.88	3.24
FBtr0070092	FBtr0070092	1950.00	1778.72	1248.86	101.35	84.53
FBtr0070093	FBtr0070093	2123.00	1951.72	45.14	3.34	2.78
FBtr0070094	FBtr0070094	4342.00	4170.72	211.71	7.33	6.11
FBtr0070095	FBtr0070095	1861.00	1689.72	0.00	0.00	0.00
FBtr0070097	FBtr0070097	2309.00	2137.72	9.21	0.62	0.52
FBtr0070098	FBtr0070098	4142.00	3970.72	322.16	11.71	9.77
FBtr0070099	FBtr0070099	2279.00	2107.72	0.00	0.00	0.00
FBtr0070100	FBtr0070100	1310.00	1138.72	0.00	0.00	0.00
FBtr0070101	FBtr0070101	1805.00	1633.72	0.00	0.00	0.00
FBtr0070102	FBtr0070102	1821.00	1649.72	0.00	0.00	0.00
FBtr0070103	FBtr0070103	1492.00	1320.72	0.00	0.00	0.00
FBtr0070106	FBtr0070106	1601.00	1429.72	22.54	2.28	1.90
FBtr0070107	FBtr0070107	1630.00	1458.72	0.00	0.00	0.00
FBtr0070108	FBtr0070108	1731.00	1559.72	38.00	3.52	2.93
FBtr0070109	FBtr0070109	5422.00	5250.72	0.09	0.00	0.00
FBtr0070110	FBtr0070110	3033.00	2861.72	1.00	0.05	0.04
FBtr0070115	FBtr0070115	1175.00	1003.72	223.00	32.07	26.75
FBtr0070116	FBtr0070116	2256.00	2084.72	58.07	4.02	3.35
FBtr0070117	FBtr0070117	2199.00	2027.72	0.00	0.00	0.00
FBtr0070118	FBtr0070118	2197.00	2025.72	23.93	1.71	1.42
FBtr0070119	FBtr0070119	3680.00	3508.72	192.00	7.90	6.59
FBtr0070120	FBtr0070120	4901.00	4729.72	232.54	7.10	5.92
FBtr0070121	FBtr0070121	1550.00	1378.72	187.00	19.58	16.33
FBtr0070122	FBtr0070122	696.00	524.73	292.85	80.56	67.19
FBtr0070123	FBtr0070123	1087.00	915.72	37.09	5.85	4.88
FBtr0070124	FBtr0070124	1472.00	1300.72	3.50	0.39	0.32
FBtr0070125	FBtr0070125	845.00	673.73	146.71	31.43	26.22
FBtr0070126	FBtr0070126	935.00	763.72	350.45	66.23	55.25
FBtr0070127	FBtr0070127	1050.00	878.72	56.59	9.30	7.75
FBtr0070128	FBtr0070128	913.00	741.72	14.25	2.77	2.31
FBtr0070129	FBtr0070129	869.00	697.73	0.00	0.00	0.00
FBtr0070130	FBtr0070130	8960.00	8788.72	0.00	0.00	0.00
FBtr0070131	FBtr0070131	8984.00	8812.72	169.12	2.77	2.31
FBtr0070132	FBtr0070132	8908.00	8736.72	119.17	1.97	1.64
FBtr0070133	FBtr0070133	8843.00	8671.72	20.45	0.34	0.28
FBtr0070134	FBtr0070134	1236.00	1064.72	256.00	34.71	28.95
FBtr0070135	FBtr0070135	2124.00	1952.72	91.35	6.75	5.63
FBtr0070136	FBtr0070136	2103.00	1931.72	31.86	2.38	1.99
FBtr0070137	FBtr0070137	2193.00	2021.72	50.79	3.63	3.02
FBtr0070138	FBtr0070138	2249.00	2077.72	3.00	0.21	0.17
FBtr0070139	FBtr0070139	2671.00	2499.72	0.00	0.00	0.00
FBtr0070140	FBtr0070140	3208.00	3036.72	289.82	13.78	11.49
FBtr0070141	FBtr0070141	1743.00	1571.72	321.73	29.55	24.65
FBtr0070142	FBtr0070142	475.00	303.76	0.00	0.00	0.00
FBtr0070145	FBtr0070145	1802.00	1630.72	11.00	0.97	0.81
FBtr0070146	FBtr0070146	3619.00	3447.72	477.00	19.97	16.66
FBtr0070147	FBtr0070147	1603.00	1431.72	1.00	0.10	0.08
FBtr0070148	FBtr0070148	1100.00	928.72	9295.00	1444.66	1205.01
FBtr0070149	FBtr0070149	1565.00	1393.72	1.00	0.10	0.09
FBtr0070150	FBtr0070150	1686.00	1514.72	1.05	0.10	0.08
FBtr0070151	FBtr0070151	6137.00	5965.72	380.63	9.21	7.68
FBtr0070155	FBtr0070155	568.00	396.74	1696.24	617.13	514.76
FBtr0070156	FBtr0070156	555.00	383.75	779.36	293.16	244.52
FBtr0070157	FBtr0070157	535.00	363.75	116.16	46.09	38.45
FBtr0070158	FBtr0070158	592.00	420.74	29.24	10.03	8.37
FBtr0070159	FBtr0070159	387.00	215.77	189.00	126.43	105.46
FBtr0070160	FBtr0070160	499.00	327.75	52.00	22.90	19.10
FBtr0070161	FBtr0070161	4310.00	4138.72	0.00	0.00	0.00
FBtr0070163	FBtr0070163	881.00	709.73	3.00	0.61	0.51
FBtr0070164	FBtr0070164	634.00	462.74	0.00	0.00	0.00
FBtr0070165	FBtr0070165	602.00	430.74	71.00	23.79	19.85
FBtr0070167	FBtr0070167	2100.00	1928.72	54.82	4.10	3.42
FBtr0070168	FBtr0070168	1777.00	1605.72	363.73	32.70	27.27
FBtr0070169	FBtr0070169	1896.00	1724.72	82.25	6.88	5.74
FBtr0070170	FBtr0070170	2155.00	1983.72	52.40	3.81	3.18
FBtr0070171	FBtr0070171	667.00	495.74	0.00	0.00	0.00
FBtr0070172	FBtr0070172	590.00	418.74	0.00	0.00	0.00
FBtr0070173	FBtr0070173	1412.00	1240.72	95.00	11.05	9.22
FBtr0070174	FBtr0070174	796.00	624.73	4.00	0.92	0.77
FBtr0070175	FBtr0070175	1358.00	1186.72	29.00	3.53	2.94
FBtr0070176	FBtr0070176	3199.00	3027.72	393.82	18.78	15.66
FBtr0070177	FBtr0070177	4056.00	3884.72	0.00	0.00	0.00
FBtr0070178	FBtr0070178	4836.00	4664.72	170.31	5.27	4.40
FBtr0070179	FBtr0070179	1107.00	935.72	3426.00	528.50	440.82
FBtr0070180	FBtr0070180	489.00	317.75	2.00	0.91	0.76
FBtr0070181	FBtr0070181	4766.00	4594.72	24.17	0.76	0.63
FBtr0070182	FBtr0070182	2214.00	2042.72	222.00	15.69	13.08
FBtr0070183	FBtr0070183	2462.00	2290.72	21.00	1.32	1.10
FBtr0070184	FBtr0070184	462.00	290.76	0.00	0.00	0.00
FBtr0070185	FBtr0070185	2073.00	1901.72	0.00	0.00	0.00
FBtr0070186	FBtr0070186	839.00	667.73	0.00	0.00	0.00
FBtr0070187	FBtr0070187	2496.00	2324.72	26.60	1.65	1.38
FBtr0070188	FBtr0070188	1515.00	1343.72	140.00	15.04	12.54
FBtr0070189	FBtr0070189	1545.00	1373.72	7.00	0.74	0.61
FBtr0070195	FBtr0070195	987.00	815.72	0.00	0.00	0.00
FBtr0070197	FBtr0070197	1199.00	1027.72	36.00	5.06	4.22
FBtr0070198	FBtr0070198	783.00	611.73	0.00	0.00	0.00
FBtr0070199	FBtr0070199	1430.00	1258.72	1.00	0.11	0.10
FBtr0070200	FBtr0070200	1413.00	1241.72	0.00	0.00	0.00
FBtr0070201	FBtr0070201	2704.00	2532.72	2.00	0.11	0.10
FBtr0070202	FBtr0070202	2579.00	2407.72	2.00	0.12	0.10
FBtr0070203	FBtr0070203	1603.00	1431.72	6.00	0.60	0.50
FBtr0070204	FBtr0070204	819.00	647.73	0.00	0.00	0.00
FBtr0070205	FBtr0070205	1884.00	1712.72	5.00	0.42	0.35
FBtr0070206	FBtr0070206	1599.00	1427.72	23.05	2.33	1.94
FBtr0070207	FBtr0070207	6581.00	6409.72	100.00	2.25	1.88
FBtr0070209	FBtr0070209	2347.00	2175.72	318.00	21.10	17.60
FBtr0070211	FBtr0070211	1002.00	830.72	5.49	0.95	0.80
FBtr0070212	FBtr0070212	2460.00	2288.72	362.00	22.83	19.04
FBtr0070213	FBtr0070213	690.00	518.73	14.00	3.90	3.25
FBtr0070215	FBtr0070215	3055.00	2883.72	550.99	27.58	23.00
FBtr0070216	FBtr0070216	2708.00	2536.72	509.65	29.00	24.19
FBtr0070217	FBtr0070217	2853.00	2681.72	136.35	7.34	6.12
FBtr0070218	FBtr0070218	2739.00	2567.72	0.00	0.00	0.00
FBtr0070219	FBtr0070219	3697.00	3525.72	0.00	0.00	0.00
FBtr0070222	FBtr0070222	3438.00	3266.72	12.29	0.54	0.45
FBtr0070225	FBtr0070225	3784.00	3612.72	339.18	13.55	11.30
FBtr0070230	FBtr0070230	3382.00	3210.72	488.00	21.94	18.30
FBtr0070231	FBtr0070231	1713.00	1541.72	38.00	3.56	2.97
FBtr0070233	FBtr0070233	831.00	659.73	159.00	34.79	29.02
FBtr0070234	FBtr0070234	1114.00	942.72	56.00	8.57	7.15
FBtr0070235	FBtr0070235	3623.00	3451.72	533.47	22.31	18.61
FBtr0070236	FBtr0070236	2319.00	2147.72	135.00	9.07	7.57
FBtr0070237	FBtr0070237	1374.00	1202.72	0.00	0.00	0.00
FBtr0070238	FBtr0070238	4457.00	4285.72	0.00	0.00	0.00
FBtr0070239	FBtr0070239	5365.00	5193.72	332.31	9.24	7.70
FBtr0070241	FBtr0070241	4274.00	4102.72	0.00	0.00	0.00
FBtr0070244	FBtr0070244	7025.00	6853.72	46.00	0.97	0.81
FBtr0070245	FBtr0070245	2890.00	2718.72	152.00	8.07	6.73
FBtr0070249	FBtr0070249	8332.00	8160.72	13.76	0.24	0.20
FBtr0070250	FBtr0070250	1487.00	1315.72	20.41	2.24	1.87
FBtr0070251	FBtr0070251	2159.00	1987.72	0.00	0.00	0.00
FBtr0070252	FBtr0070252	1638.00	1466.72	0.00	0.00	0.00
FBtr0070253	FBtr0070253	859.00	687.73	1.30	0.27	0.23
FBtr0070254	FBtr0070254	753.00	581.73	5.00	1.24	1.03
FBtr0070255	FBtr0070255	1399.00	1227.72	0.00	0.00	0.00
FBtr0070256	FBtr0070256	1289.00	1117.72	179.80	23.22	19.37
FBtr0070257	FBtr0070257	1082.00	910.72	71.00	11.25	9.39
FBtr0070258	FBtr0070258	1333.00	1161.72	68.54	8.52	7.10
FBtr0070259	FBtr0070259	2082.00	1910.72	3679.36	277.96	231.85
FBtr0070260	FBtr0070260	3254.00	3082.72	94.57	4.43	3.69
FBtr0070261	FBtr0070261	3867.00	3695.72	103.18	4.03	3.36
FBtr0070262	FBtr0070262	4419.00	4247.72	0.00	0.00	0.00
FBtr0070263	FBtr0070263	7839.00	7667.72	77.24	1.45	1.21
FBtr0070265	FBtr0070265	8223.00	8051.72	121.31	2.17	1.81
FBtr0070266	FBtr0070266	4236.00	4064.72	0.00	0.00	0.00
FBtr0070269	FBtr0070269	3161.00	2989.72	712.00	34.38	28.67
FBtr0070270	FBtr0070270	2540.00	2368.72	682.86	41.61	34.71
FBtr0070272	FBtr0070272	2139.00	1967.72	66.00	4.84	4.04
FBtr0070277	FBtr0070277	2149.00	1977.72	66.25	4.83	4.03
FBtr0070278	FBtr0070278	1115.00	943.72	0.00	0.00	0.00
FBtr0070279	FBtr0070279	2210.00	2038.72	180.55	12.78	10.66
FBtr0070283	FBtr0070283	829.00	657.73	275.22	60.40	50.38
FBtr0070284	FBtr0070284	6411.00	6239.72	18.95	0.44	0.37
FBtr0070285	FBtr0070285	457.00	285.76	0.00	0.00	0.00
FBtr0070288	FBtr0070288	4176.00	4004.72	18.36	0.66	0.55
FBtr0070289	FBtr0070289	1109.00	937.72	64.52	9.93	8.28
FBtr0070290	FBtr0070290	1083.00	911.72	60445.76	9569.83	7982.31
FBtr0070293	FBtr0070293	1466.00	1294.72	0.00	0.00	0.00
FBtr0070294	FBtr0070294	1564.00	1392.72	93.00	9.64	8.04
FBtr0070295	FBtr0070295	1063.00	891.72	13.00	2.10	1.76
FBtr0070296	FBtr0070296	1634.00	1462.72	551.00	54.37	45.35
FBtr0070297	FBtr0070297	2040.00	1868.72	456.55	35.27	29.42
FBtr0070298	FBtr0070298	870.00	698.73	17.00	3.51	2.93
FBtr0070299	FBtr0070299	2648.00	2476.72	0.00	0.00	0.00
FBtr0070300	FBtr0070300	6645.00	6473.72	0.00	0.00	0.00
FBtr0070301	FBtr0070301	803.00	631.73	0.00	0.00	0.00
FBtr0070308	FBtr0070308	842.00	670.73	301.00	64.78	54.03
FBtr0070310	FBtr0070310	3419.00	3247.72	488.97	21.73	18.13
FBtr0070311	FBtr0070311	2543.00	2371.72	1117.84	68.03	56.75
FBtr0070312	FBtr0070312	1704.00	1532.72	633.00	59.61	49.72
FBtr0070313	FBtr0070313	1019.00	847.72	3.40	0.58	0.48
FBtr0070314	FBtr0070314	869.00	697.73	332.88	68.87	57.44
FBtr0070315	FBtr0070315	3459.00	3287.72	752.00	33.02	27.54
FBtr0070316	FBtr0070316	6065.00	5893.72	1029.68	25.22	21.03
FBtr0070317	FBtr0070317	3688.00	3516.72	1120.45	45.99	38.36
FBtr0070318	FBtr0070318	1791.00	1619.72	369.42	32.92	27.46
FBtr0070319	FBtr0070319	1747.00	1575.72	31.16	2.85	2.38
FBtr0070320	FBtr0070320	1648.00	1476.72	0.00	0.00	0.00
FBtr0070321	FBtr0070321	1105.00	933.72	83.00	12.83	10.70
FBtr0070326	FBtr0070326	7368.00	7196.72	843.37	16.92	14.11
FBtr0070328	FBtr0070328	1097.00	925.72	9.00	1.40	1.17
FBtr0070330	FBtr0070330	2070.00	1898.72	67.82	5.16	4.30
FBtr0070331	FBtr0070331	923.00	751.72	478.00	91.78	76.56
FBtr0070334	FBtr0070334	2436.00	2264.72	2323.39	148.08	123.52
FBtr0070335	FBtr0070335	2466.00	2294.72	61.42	3.86	3.22
FBtr0070336	FBtr0070336	2371.00	2199.72	73.43	4.82	4.02
FBtr0070337	FBtr0070337	2097.00	1925.72	183.73	13.77	11.49
FBtr0070338	FBtr0070338	920.00	748.72	13.00	2.51	2.09
FBtr0070339	FBtr0070339	2664.00	2492.72	1022.00	59.18	49.36
FBtr0070340	FBtr0070340	5230.00	5058.72	194.00	5.54	4.62
FBtr0070341	FBtr0070341	2941.00	2769.72	0.00	0.00	0.00
FBtr0070342	FBtr0070342	583.00	411.74	1.43	0.50	0.42
FBtr0070343	FBtr0070343	3511.00	3339.72	0.00	0.00	0.00
FBtr0070344	FBtr0070344	3511.00	3339.72	767.78	33.18	27.68
FBtr0070345	FBtr0070345	4868.00	4696.72	0.00	0.00	0.00
FBtr0070346	FBtr0070346	2515.00	2343.72	845.86	52.09	43.45
FBtr0070347	FBtr0070347	1203.00	1031.72	693.00	96.96	80.87
FBtr0070349	FBtr0070349	2341.00	2169.72	109.00	7.25	6.05
FBtr0070350	FBtr0070350	2297.00	2125.72	791.27	53.73	44.82
FBtr0070351	FBtr0070351	2447.00	2275.72	151.73	9.62	8.03
FBtr0070352	FBtr0070352	4251.00	4079.72	0.00	0.00	0.00
FBtr0070353	FBtr0070353	3221.00	3049.72	287.80	13.62	11.36
FBtr0070354	FBtr0070354	3670.00	3498.72	16.28	0.67	0.56
FBtr0070355	FBtr0070355	937.00	765.72	32.00	6.03	5.03
FBtr0070356	FBtr0070356	818.00	646.73	176.63	39.42	32.88
FBtr0070362	FBtr0070362	8251.00	8079.72	1510.00	26.98	22.50
FBtr0070363	FBtr0070363	8314.00	8142.72	0.00	0.00	0.00
FBtr0070364	FBtr0070364	501.00	329.75	273.42	119.68	99.83
FBtr0070365	FBtr0070365	508.00	336.75	263.92	113.12	94.36
FBtr0070366	FBtr0070366	1100.00	928.72	308.75	47.99	40.03
FBtr0070367	FBtr0070367	2158.00	1986.72	52.93	3.85	3.21
FBtr0070368	FBtr0070368	1972.00	1800.72	275.80	22.11	18.44
FBtr0070369	FBtr0070369	3451.00	3279.72	117.62	5.18	4.32
FBtr0070370	FBtr0070370	3385.00	3213.72	191.87	8.62	7.19
FBtr0070371	FBtr0070371	2170.00	1998.72	587.54	42.43	35.39
FBtr0070372	FBtr0070372	720.00	548.73	212.25	55.83	46.57
FBtr0070374	FBtr0070374	720.00	548.73	0.00	0.00	0.00
FBtr0070375	FBtr0070375	1240.00	1068.72	665.00	89.82	74.92
FBtr0070376	FBtr0070376	2970.00	2798.72	500.06	25.79	21.51
FBtr0070377	FBtr0070377	2860.00	2688.72	845.72	45.40	37.87
FBtr0070378	FBtr0070378	4560.00	4388.72	316.40	10.41	8.68
FBtr0070379	FBtr0070379	7664.00	7492.72	129.44	2.49	2.08
FBtr0070380	FBtr0070380	4106.00	3934.72	8.70	0.32	0.27
FBtr0070381	FBtr0070381	1862.00	1690.72	653.05	55.75	46.50
FBtr0070382	FBtr0070382	1966.00	1794.72	0.00	0.00	0.00
FBtr0070383	FBtr0070383	1987.00	1815.72	17.95	1.43	1.19
FBtr0070384	FBtr0070384	1895.00	1723.72	0.00	0.00	0.00
FBtr0070385	FBtr0070385	1948.00	1776.72	0.00	0.00	0.00
FBtr0070386	FBtr0070386	512.00	340.75	240.10	101.71	84.84
FBtr0070387	FBtr0070387	1582.00	1410.72	21.60	2.21	1.84
FBtr0070388	FBtr0070388	1822.00	1650.72	33.00	2.89	2.41
FBtr0070389	FBtr0070389	1638.00	1466.72	85.00	8.37	6.98
FBtr0070390	FBtr0070390	372.00	200.78	157.00	112.87	94.15
FBtr0070392	FBtr0070392	891.00	719.73	46.00	9.23	7.70
FBtr0070393	FBtr0070393	2955.00	2783.72	193.00	10.01	8.35
FBtr0070396	FBtr0070396	3052.00	2880.72	139.00	6.96	5.81
FBtr0070397	FBtr0070397	1267.00	1095.72	2.00	0.26	0.22
FBtr0070398	FBtr0070398	1921.00	1749.72	346.00	28.54	23.81
FBtr0070399	FBtr0070399	1643.00	1471.72	12.00	1.18	0.98
FBtr0070401	FBtr0070401	3247.00	3075.72	362.00	16.99	14.17
FBtr0070402	FBtr0070402	4269.00	4097.72	198.27	6.98	5.83
FBtr0070403	FBtr0070403	5069.00	4897.72	5.68	0.17	0.14
FBtr0070404	FBtr0070404	4599.00	4427.72	0.00	0.00	0.00
FBtr0070405	FBtr0070405	653.00	481.74	125.70	37.66	31.42
FBtr0070406	FBtr0070406	1908.00	1736.72	267.19	22.21	18.52
FBtr0070407	FBtr0070407	952.00	780.72	6.20	1.15	0.96
FBtr0070408	FBtr0070408	2079.00	1907.72	229.58	17.37	14.49
FBtr0070411	FBtr0070411	3175.00	3003.72	3447.76	165.68	138.20
FBtr0070412	FBtr0070412	2656.00	2484.72	86.01	5.00	4.17
FBtr0070414	FBtr0070414	2163.00	1991.72	69.58	5.04	4.21
FBtr0070415	FBtr0070415	3979.00	3807.72	6.93	0.26	0.22
FBtr0070416	FBtr0070416	1219.00	1047.72	357.52	49.26	41.08
FBtr0070417	FBtr0070417	1247.00	1075.72	0.00	0.00	0.00
FBtr0070418	FBtr0070418	2332.00	2160.72	536.00	35.81	29.87
FBtr0070419	FBtr0070419	3927.00	3755.72	0.00	0.00	0.00
FBtr0070420	FBtr0070420	3766.00	3594.72	1923.00	77.22	64.41
FBtr0070421	FBtr0070421	1547.00	1375.72	0.00	0.00	0.00
FBtr0070422	FBtr0070422	1749.00	1577.72	5.00	0.46	0.38
FBtr0070423	FBtr0070423	1681.00	1509.72	1.00	0.10	0.08
FBtr0070424	FBtr0070424	1109.00	937.72	0.00	0.00	0.00
FBtr0070425	FBtr0070425	1791.00	1619.72	589.00	52.49	43.78
FBtr0070426	FBtr0070426	1685.00	1513.72	17.00	1.62	1.35
FBtr0070427	FBtr0070427	1644.00	1472.72	49.08	4.81	4.01
FBtr0070428	FBtr0070428	1685.00	1513.72	13.92	1.33	1.11
FBtr0070429	FBtr0070429	6768.00	6596.72	852.70	18.66	15.56
FBtr0070430	FBtr0070430	5067.00	4895.72	258.30	7.62	6.35
FBtr0070431	FBtr0070431	748.00	576.73	235.00	58.82	49.06
FBtr0070432	FBtr0070432	5940.00	5768.72	109.59	2.74	2.29
FBtr0070433	FBtr0070433	5821.00	5649.72	170.78	4.36	3.64
FBtr0070434	FBtr0070434	1936.00	1764.72	767.00	62.74	52.33
FBtr0070435	FBtr0070435	2599.00	2427.72	25.97	1.54	1.29
FBtr0070436	FBtr0070436	2910.00	2738.72	0.00	0.00	0.00
FBtr0070437	FBtr0070437	958.00	786.72	0.00	0.00	0.00
FBtr0070438	FBtr0070438	1634.00	1462.72	551.42	54.42	45.39
FBtr0070439	FBtr0070439	3595.00	3423.72	343.46	14.48	12.08
FBtr0070440	FBtr0070440	3303.00	3131.72	125.06	5.76	4.81
FBtr0070441	FBtr0070441	2567.00	2395.72	785.00	47.30	39.45
FBtr0070442	FBtr0070442	2045.00	1873.72	235.00	18.10	15.10
FBtr0070445	FBtr0070445	1280.00	1108.72	435.21	56.66	47.26
FBtr0070446	FBtr0070446	1027.00	855.72	4090.00	689.91	575.46
FBtr0070447	FBtr0070447	1762.00	1590.72	233.00	21.14	17.64
FBtr0070448	FBtr0070448	4527.00	4355.72	89.71	2.97	2.48
FBtr0070457	FBtr0070457	4223.00	4051.72	845.86	30.13	25.14
FBtr0070458	FBtr0070458	2721.00	2549.72	19.19	1.09	0.91
FBtr0070459	FBtr0070459	663.00	491.74	141.86	41.64	34.73
FBtr0070460	FBtr0070460	1780.00	1608.72	28.00	2.51	2.10
FBtr0070461	FBtr0070461	931.00	759.72	0.00	0.00	0.00
FBtr0070462	FBtr0070462	1537.00	1365.72	0.00	0.00	0.00
FBtr0070466	FBtr0070466	2847.00	2675.72	105.05	5.67	4.73
FBtr0070467	FBtr0070467	2929.00	2757.72	0.00	0.00	0.00
FBtr0070468	FBtr0070468	3055.00	2883.72	286.62	14.35	11.97
FBtr0070469	FBtr0070469	4244.00	4072.72	236.97	8.40	7.01
FBtr0070470	FBtr0070470	3110.00	2938.72	0.00	0.00	0.00
FBtr0070471	FBtr0070471	4805.00	4633.72	414.19	12.90	10.76
FBtr0070472	FBtr0070472	3021.00	2849.72	0.00	0.00	0.00
FBtr0070473	FBtr0070473	3091.00	2919.72	0.00	0.00	0.00
FBtr0070474	FBtr0070474	3218.00	3046.72	25.01	1.18	0.99
FBtr0070475	FBtr0070475	3174.00	3002.72	122.31	5.88	4.90
FBtr0070476	FBtr0070476	2745.00	2573.72	0.00	0.00	0.00
FBtr0070477	FBtr0070477	4527.00	4355.72	19.94	0.66	0.55
FBtr0070478	FBtr0070478	1645.00	1473.72	79.00	7.74	6.45
FBtr0070479	FBtr0070479	1357.00	1185.72	430.00	52.35	43.66
FBtr0070480	FBtr0070480	2283.00	2111.72	209.00	14.29	11.92
FBtr0070481	FBtr0070481	3075.00	2903.72	135.33	6.73	5.61
FBtr0070482	FBtr0070482	3152.00	2980.72	69.94	3.39	2.83
FBtr0070484	FBtr0070484	3502.00	3330.72	339.00	14.69	12.25
FBtr0070485	FBtr0070485	2235.00	2063.72	20.00	1.40	1.17
FBtr0070486	FBtr0070486	827.00	655.73	10.00	2.20	1.84
FBtr0070487	FBtr0070487	2002.00	1830.72	358.00	28.23	23.54
FBtr0070488	FBtr0070488	1804.00	1632.72	109.00	9.64	8.04
FBtr0070489	FBtr0070489	966.00	794.72	0.00	0.00	0.00
FBtr0070490	FBtr0070490	2352.00	2180.72	60.00	3.97	3.31
FBtr0070491	FBtr0070491	1845.00	1673.72	78.50	6.77	5.65
