gene_id	transcript_id(s)	length	effective_length	expected_count	TPM	FPKM
FBtr0070167	FBtr0070167	2100.00	1918.11	84.31	5.36	4.30
FBtr0070168	FBtr0070168	1777.00	1595.11	517.95	39.61	31.79
FBtr0070169	FBtr0070169	1896.00	1714.11	42.15	3.00	2.41
FBtr0070170	FBtr0070170	2155.00	1973.11	66.81	4.13	3.32
FBtr0070171	FBtr0070171	667.00	485.13	0.00	0.00	0.00
FBtr0070172	FBtr0070172	590.00	408.14	0.00	0.00	0.00
FBtr0070173	FBtr0070173	1412.00	1230.11	172.00	17.05	13.69
FBtr0070174	FBtr0070174	796.00	614.12	7.00	1.39	1.12
FBtr0070175	FBtr0070175	1358.00	1176.11	28.00	2.90	2.33
FBtr0070176	FBtr0070176	3199.00	3017.11	447.53	18.09	14.52
FBtr0070177	FBtr0070177	4056.00	3874.11	0.00	0.00	0.00
FBtr0070178	FBtr0070178	4836.00	4654.11	144.52	3.79	3.04
FBtr0070179	FBtr0070179	1107.00	925.11	2594.00	342.00	274.55
FBtr0070180	FBtr0070180	489.00	307.15	1.00	0.40	0.32
FBtr0070181	FBtr0070181	4766.00	4584.11	28.37	0.75	0.61
FBtr0070182	FBtr0070182	2214.00	2032.11	213.00	12.78	10.26
FBtr0070183	FBtr0070183	2462.00	2280.11	11.00	0.59	0.47
FBtr0070184	FBtr0070184	462.00	280.16	0.00	0.00	0.00
FBtr0070185	FBtr0070185	2073.00	1891.11	0.00	0.00	0.00
FBtr0070186	FBtr0070186	839.00	657.12	0.00	0.00	0.00
FBtr0070187	FBtr0070187	2496.00	2314.11	45.19	2.38	1.91
FBtr0070188	FBtr0070188	1515.00	1333.11	234.00	21.41	17.19
FBtr0070189	FBtr0070189	1545.00	1363.11	6.00	0.54	0.43
FBtr0070195	FBtr0070195	987.00	805.11	0.00	0.00	0.00
FBtr0070197	FBtr0070197	1199.00	1017.11	87.91	10.54	8.46
FBtr0070198	FBtr0070198	783.00	601.12	0.00	0.00	0.00
FBtr0070199	FBtr0070199	1430.00	1248.11	0.00	0.00	0.00
FBtr0070200	FBtr0070200	1413.00	1231.11	1.00	0.10	0.08
FBtr0070201	FBtr0070201	2704.00	2522.11	2.00	0.10	0.08
FBtr0070202	FBtr0070202	2579.00	2397.11	0.00	0.00	0.00
FBtr0070203	FBtr0070203	1603.00	1421.11	15.00	1.29	1.03
FBtr0070204	FBtr0070204	819.00	637.12	1.00	0.19	0.15
FBtr0070205	FBtr0070205	1884.00	1702.11	0.00	0.00	0.00
FBtr0070206	FBtr0070206	1599.00	1417.11	29.79	2.56	2.06
FBtr0070207	FBtr0070207	6581.00	6399.11	88.00	1.68	1.35
FBtr0070209	FBtr0070209	2347.00	2165.11	297.01	16.73	13.43
FBtr0070211	FBtr0070211	1002.00	820.11	21.00	3.12	2.51
FBtr0070212	FBtr0070212	2460.00	2278.11	450.00	24.09	19.34
FBtr0070213	FBtr0070213	690.00	508.13	28.00	6.72	5.40
FBtr0070215	FBtr0070215	3055.00	2873.11	484.86	20.58	16.52
FBtr0070216	FBtr0070216	2708.00	2526.11	571.21	27.58	22.14
FBtr0070217	FBtr0070217	2853.00	2671.11	70.79	3.23	2.60
FBtr0070218	FBtr0070218	2739.00	2557.11	0.00	0.00	0.00
FBtr0070219	FBtr0070219	3697.00	3515.11	0.00	0.00	0.00
FBtr0070222	FBtr0070222	3438.00	3256.11	8.16	0.31	0.25
FBtr0070225	FBtr0070225	3784.00	3602.11	472.86	16.01	12.85
FBtr0070230	FBtr0070230	3382.00	3200.11	659.00	25.12	20.16
FBtr0070231	FBtr0070231	1713.00	1531.11	65.00	5.18	4.16
FBtr0070233	FBtr0070233	831.00	649.12	182.00	34.20	27.45
FBtr0070234	FBtr0070234	1114.00	932.11	140.00	18.32	14.71
FBtr0070235	FBtr0070235	3623.00	3441.11	691.65	24.52	19.68
FBtr0070236	FBtr0070236	2319.00	2137.11	181.00	10.33	8.29
FBtr0070237	FBtr0070237	1374.00	1192.11	0.00	0.00	0.00
FBtr0070238	FBtr0070238	4457.00	4275.11	0.00	0.00	0.00
FBtr0070239	FBtr0070239	5365.00	5183.11	611.17	14.38	11.55
FBtr0070241	FBtr0070241	4274.00	4092.11	19.33	0.58	0.46
FBtr0070244	FBtr0070244	7025.00	6843.11	47.94	0.85	0.69
FBtr0070245	FBtr0070245	2890.00	2708.11	193.00	8.69	6.98
FBtr0070249	FBtr0070249	8332.00	8150.11	10.36	0.15	0.12
FBtr0070250	FBtr0070250	1487.00	1305.11	30.74	2.87	2.31
FBtr0070251	FBtr0070251	2159.00	1977.11	0.00	0.00	0.00
FBtr0070252	FBtr0070252	1638.00	1456.11	0.00	0.00	0.00
FBtr0070253	FBtr0070253	859.00	677.12	0.00	0.00	0.00
FBtr0070254	FBtr0070254	753.00	571.12	7.00	1.49	1.20
FBtr0070255	FBtr0070255	1399.00	1217.11	0.00	0.00	0.00
FBtr0070256	FBtr0070256	1289.00	1107.11	319.43	35.19	28.25
FBtr0070257	FBtr0070257	1082.00	900.11	55.00	7.45	5.98
FBtr0070258	FBtr0070258	1333.00	1151.11	54.17	5.74	4.61
FBtr0070259	FBtr0070259	2082.00	1900.11	4731.00	303.69	243.79
FBtr0070260	FBtr0070260	3254.00	3072.11	128.59	5.11	4.10
FBtr0070261	FBtr0070261	3867.00	3685.11	120.96	4.00	3.21
FBtr0070262	FBtr0070262	4419.00	4237.11	0.00	0.00	0.00
FBtr0070263	FBtr0070263	7839.00	7657.11	98.34	1.57	1.26
FBtr0070265	FBtr0070265	8223.00	8041.11	39.16	0.59	0.48
FBtr0070266	FBtr0070266	4236.00	4054.11	125.07	3.76	3.02
FBtr0070269	FBtr0070269	3161.00	2979.11	981.00	40.16	32.24
FBtr0070270	FBtr0070270	2540.00	2358.11	1047.67	54.19	43.50
FBtr0070272	FBtr0070272	2139.00	1957.11	88.00	5.48	4.40
FBtr0070277	FBtr0070277	2149.00	1967.11	91.85	5.69	4.57
FBtr0070278	FBtr0070278	1115.00	933.11	0.00	0.00	0.00
FBtr0070279	FBtr0070279	2210.00	2028.11	297.78	17.91	14.38
FBtr0070283	FBtr0070283	829.00	647.12	371.56	70.03	56.22
FBtr0070284	FBtr0070284	6411.00	6229.11	0.00	0.00	0.00
FBtr0070285	FBtr0070285	457.00	275.16	0.00	0.00	0.00
FBtr0070288	FBtr0070288	4176.00	3994.11	0.00	0.00	0.00
FBtr0070289	FBtr0070289	1109.00	927.11	14.87	1.96	1.57
FBtr0070290	FBtr0070290	1083.00	901.11	74218.26	10045.89	8064.49
FBtr0070293	FBtr0070293	1466.00	1284.11	0.00	0.00	0.00
FBtr0070294	FBtr0070294	1564.00	1382.11	135.00	11.91	9.56
FBtr0070295	FBtr0070295	1063.00	881.11	25.00	3.46	2.78
FBtr0070296	FBtr0070296	1634.00	1452.11	620.00	52.08	41.81
FBtr0070297	FBtr0070297	2040.00	1858.11	554.68	36.41	29.23
FBtr0070298	FBtr0070298	870.00	688.12	20.00	3.55	2.85
FBtr0070299	FBtr0070299	2648.00	2466.11	38.80	1.92	1.54
FBtr0070300	FBtr0070300	6645.00	6463.11	0.00	0.00	0.00
FBtr0070301	FBtr0070301	803.00	621.12	0.00	0.00	0.00
FBtr0070308	FBtr0070308	842.00	660.12	402.12	74.30	59.65
FBtr0070310	FBtr0070310	3419.00	3237.11	597.67	22.52	18.08
FBtr0070311	FBtr0070311	2543.00	2361.11	1560.58	80.62	64.72
FBtr0070312	FBtr0070312	1704.00	1522.11	806.00	64.59	51.85
FBtr0070313	FBtr0070313	1019.00	837.11	6.74	0.98	0.79
FBtr0070314	FBtr0070314	869.00	687.12	486.38	86.34	69.31
FBtr0070315	FBtr0070315	3459.00	3277.11	1013.00	37.70	30.27
FBtr0070316	FBtr0070316	6065.00	5883.11	1229.04	25.48	20.46
FBtr0070317	FBtr0070317	3688.00	3506.11	1702.00	59.21	47.53
FBtr0070318	FBtr0070318	1791.00	1609.11	677.11	51.33	41.20
FBtr0070319	FBtr0070319	1747.00	1565.11	0.00	0.00	0.00
FBtr0070320	FBtr0070320	1648.00	1466.11	0.00	0.00	0.00
FBtr0070321	FBtr0070321	1105.00	923.11	131.00	17.31	13.90
FBtr0070326	FBtr0070326	7368.00	7186.11	1436.11	24.38	19.57
FBtr0070328	FBtr0070328	1097.00	915.11	14.00	1.87	1.50
FBtr0070330	FBtr0070330	2070.00	1888.11	50.91	3.29	2.64
FBtr0070331	FBtr0070331	923.00	741.12	569.00	93.64	75.17
FBtr0070334	FBtr0070334	2436.00	2254.11	2022.05	109.41	87.83
FBtr0070335	FBtr0070335	2466.00	2284.11	66.53	3.55	2.85
FBtr0070336	FBtr0070336	2371.00	2189.11	135.85	7.57	6.08
FBtr0070337	FBtr0070337	2097.00	1915.11	162.57	10.35	8.31
FBtr0070338	FBtr0070338	920.00	738.12	13.00	2.15	1.72
FBtr0070339	FBtr0070339	2664.00	2482.11	1582.00	77.74	62.41
FBtr0070340	FBtr0070340	5230.00	5048.11	242.00	5.85	4.69
FBtr0070341	FBtr0070341	2941.00	2759.11	12.16	0.54	0.43
FBtr0070342	FBtr0070342	583.00	401.14	2.75	0.84	0.67
FBtr0070343	FBtr0070343	3511.00	3329.11	0.00	0.00	0.00
FBtr0070344	FBtr0070344	3511.00	3329.11	975.25	35.73	28.68
FBtr0070345	FBtr0070345	4868.00	4686.11	6.72	0.17	0.14
FBtr0070346	FBtr0070346	2515.00	2333.11	1042.67	54.51	43.76
FBtr0070347	FBtr0070347	1203.00	1021.11	1016.00	121.36	97.42
FBtr0070349	FBtr0070349	2341.00	2159.11	170.00	9.60	7.71
FBtr0070350	FBtr0070350	2297.00	2115.11	1310.97	75.60	60.69
FBtr0070351	FBtr0070351	2447.00	2265.11	151.03	8.13	6.53
FBtr0070352	FBtr0070352	4251.00	4069.11	11.38	0.34	0.27
FBtr0070353	FBtr0070353	3221.00	3039.11	503.59	20.21	16.22
FBtr0070354	FBtr0070354	3670.00	3488.11	36.33	1.27	1.02
FBtr0070355	FBtr0070355	937.00	755.12	43.00	6.95	5.58
FBtr0070356	FBtr0070356	818.00	636.12	295.85	56.73	45.54
FBtr0070362	FBtr0070362	8251.00	8069.11	1845.00	27.89	22.39
FBtr0070363	FBtr0070363	8314.00	8132.11	0.00	0.00	0.00
FBtr0070364	FBtr0070364	501.00	319.15	403.00	154.02	123.64
FBtr0070365	FBtr0070365	508.00	326.15	315.25	117.90	94.64
FBtr0070366	FBtr0070366	1100.00	918.11	559.29	74.30	59.65
FBtr0070367	FBtr0070367	2158.00	1976.11	71.71	4.43	3.55
FBtr0070368	FBtr0070368	1972.00	1790.11	327.61	22.32	17.92
FBtr0070369	FBtr0070369	3451.00	3269.11	109.25	4.08	3.27
FBtr0070370	FBtr0070370	3385.00	3203.11	372.75	14.19	11.39
FBtr0070371	FBtr0070371	2170.00	1988.11	1353.48	83.04	66.66
FBtr0070372	FBtr0070372	720.00	538.13	236.26	53.55	42.99
FBtr0070374	FBtr0070374	720.00	538.13	0.00	0.00	0.00
FBtr0070375	FBtr0070375	1240.00	1058.11	764.00	88.07	70.70
FBtr0070376	FBtr0070376	2970.00	2788.11	445.92	19.51	15.66
FBtr0070377	FBtr0070377	2860.00	2678.11	1329.29	60.54	48.60
FBtr0070378	FBtr0070378	4560.00	4378.11	341.89	9.52	7.65
FBtr0070379	FBtr0070379	7664.00	7482.11	125.26	2.04	1.64
FBtr0070380	FBtr0070380	4106.00	3924.11	77.56	2.41	1.94
FBtr0070381	FBtr0070381	1862.00	1680.11	593.66	43.10	34.60
FBtr0070382	FBtr0070382	1966.00	1784.11	9.47	0.65	0.52
FBtr0070383	FBtr0070383	1987.00	1805.11	25.87	1.75	1.40
FBtr0070384	FBtr0070384	1895.00	1713.11	15.09	1.07	0.86
FBtr0070385	FBtr0070385	1948.00	1766.11	0.00	0.00	0.00
FBtr0070386	FBtr0070386	512.00	330.15	394.10	145.60	116.88
FBtr0070387	FBtr0070387	1582.00	1400.11	36.88	3.21	2.58
FBtr0070388	FBtr0070388	1822.00	1640.11	59.00	4.39	3.52
FBtr0070389	FBtr0070389	1638.00	1456.11	107.00	8.96	7.20
FBtr0070390	FBtr0070390	372.00	190.18	208.82	133.92	107.51
FBtr0070392	FBtr0070392	891.00	709.12	150.00	25.80	20.71
FBtr0070393	FBtr0070393	2955.00	2773.11	87.00	3.83	3.07
FBtr0070396	FBtr0070396	3052.00	2870.11	162.00	6.88	5.53
FBtr0070397	FBtr0070397	1267.00	1085.11	8.00	0.90	0.72
FBtr0070398	FBtr0070398	1921.00	1739.11	365.00	25.60	20.55
FBtr0070399	FBtr0070399	1643.00	1461.11	9.00	0.75	0.60
FBtr0070401	FBtr0070401	3247.00	3065.11	517.94	20.61	16.55
FBtr0070402	FBtr0070402	4269.00	4087.11	263.55	7.87	6.31
FBtr0070403	FBtr0070403	5069.00	4887.11	13.92	0.35	0.28
FBtr0070404	FBtr0070404	4599.00	4417.11	0.00	0.00	0.00
FBtr0070405	FBtr0070405	653.00	471.13	207.73	53.78	43.17
FBtr0070406	FBtr0070406	1908.00	1726.11	188.86	13.35	10.71
FBtr0070407	FBtr0070407	952.00	770.12	6.23	0.99	0.79
FBtr0070408	FBtr0070408	2079.00	1897.11	278.81	17.93	14.39
FBtr0070411	FBtr0070411	3175.00	2993.11	3963.18	161.50	129.65
FBtr0070412	FBtr0070412	2656.00	2474.11	123.42	6.08	4.88
FBtr0070414	FBtr0070414	2163.00	1981.11	122.43	7.54	6.05
FBtr0070415	FBtr0070415	3979.00	3797.11	22.81	0.73	0.59
FBtr0070416	FBtr0070416	1219.00	1037.11	301.79	35.49	28.49
FBtr0070417	FBtr0070417	1247.00	1065.11	23.83	2.73	2.19
FBtr0070418	FBtr0070418	2332.00	2150.11	783.00	44.42	35.66
FBtr0070419	FBtr0070419	3927.00	3745.11	0.00	0.00	0.00
FBtr0070420	FBtr0070420	3766.00	3584.11	2294.45	78.08	62.68
FBtr0070421	FBtr0070421	1547.00	1365.11	0.00	0.00	0.00
FBtr0070422	FBtr0070422	1749.00	1567.11	0.00	0.00	0.00
FBtr0070423	FBtr0070423	1681.00	1499.11	0.00	0.00	0.00
FBtr0070424	FBtr0070424	1109.00	927.11	0.00	0.00	0.00
FBtr0070425	FBtr0070425	1791.00	1609.11	692.00	52.45	42.11
FBtr0070426	FBtr0070426	1685.00	1503.11	14.00	1.14	0.91
FBtr0070427	FBtr0070427	1644.00	1462.11	49.61	4.14	3.32
FBtr0070428	FBtr0070428	1685.00	1503.11	17.39	1.41	1.13
FBtr0070429	FBtr0070429	6768.00	6586.11	1049.74	19.44	15.61
FBtr0070430	FBtr0070430	5067.00	4885.11	326.26	8.15	6.54
FBtr0070431	FBtr0070431	748.00	566.13	349.00	75.19	60.36
FBtr0070432	FBtr0070432	5940.00	5758.11	281.91	5.97	4.79
FBtr0070433	FBtr0070433	5821.00	5639.11	60.32	1.30	1.05
FBtr0070434	FBtr0070434	1936.00	1754.11	1089.00	75.72	60.79
FBtr0070435	FBtr0070435	2599.00	2417.11	25.86	1.30	1.05
FBtr0070436	FBtr0070436	2910.00	2728.11	16.49	0.74	0.59
FBtr0070437	FBtr0070437	958.00	776.12	0.00	0.00	0.00
FBtr0070438	FBtr0070438	1634.00	1452.11	639.02	53.67	43.09
FBtr0070439	FBtr0070439	3595.00	3413.11	563.44	20.14	16.16
FBtr0070440	FBtr0070440	3303.00	3121.11	188.00	7.35	5.90
FBtr0070441	FBtr0070441	2567.00	2385.11	1232.00	63.00	50.58
FBtr0070442	FBtr0070442	2045.00	1863.11	282.00	18.46	14.82
FBtr0070445	FBtr0070445	1280.00	1098.11	567.51	63.04	50.60
FBtr0070446	FBtr0070446	1027.00	845.11	5216.00	752.80	604.32
FBtr0070447	FBtr0070447	1762.00	1580.11	384.00	29.64	23.80
FBtr0070448	FBtr0070448	4527.00	4345.11	159.06	4.46	3.58
FBtr0070457	FBtr0070457	4223.00	4041.11	536.89	16.20	13.01
FBtr0070458	FBtr0070458	2721.00	2539.11	83.72	4.02	3.23
FBtr0070459	FBtr0070459	663.00	481.13	231.61	58.72	47.13
FBtr0070460	FBtr0070460	1780.00	1598.11	37.00	2.82	2.27
FBtr0070461	FBtr0070461	931.00	749.12	0.00	0.00	0.00
FBtr0070462	FBtr0070462	1537.00	1355.11	0.00	0.00	0.00
FBtr0070466	FBtr0070466	2847.00	2665.11	0.00	0.00	0.00
FBtr0070467	FBtr0070467	2929.00	2747.11	0.00	0.00	0.00
FBtr0070468	FBtr0070468	3055.00	2873.11	367.16	15.59	12.51
FBtr0070469	FBtr0070469	4244.00	4062.11	424.14	12.74	10.22
FBtr0070470	FBtr0070470	3110.00	2928.11	0.00	0.00	0.00
FBtr0070471	FBtr0070471	4805.00	4623.11	633.48	16.71	13.42
FBtr0070472	FBtr0070472	3021.00	2839.11	0.00	0.00	0.00
FBtr0070473	FBtr0070473	3091.00	2909.11	0.00	0.00	0.00
FBtr0070474	FBtr0070474	3218.00	3036.11	4.78	0.19	0.15
FBtr0070475	FBtr0070475	3174.00	2992.11	191.24	7.80	6.26
FBtr0070476	FBtr0070476	2745.00	2563.11	0.00	0.00	0.00
FBtr0070477	FBtr0070477	4527.00	4345.11	0.00	0.00	0.00
FBtr0070478	FBtr0070478	1645.00	1463.11	116.00	9.67	7.76
FBtr0070479	FBtr0070479	1357.00	1175.11	605.00	62.80	50.41
FBtr0070480	FBtr0070480	2283.00	2101.11	280.00	16.25	13.05
FBtr0070481	FBtr0070481	3075.00	2893.11	107.46	4.53	3.64
FBtr0070482	FBtr0070482	3152.00	2970.11	182.67	7.50	6.02
FBtr0070484	FBtr0070484	3502.00	3320.11	621.00	22.81	18.31
FBtr0070485	FBtr0070485	2235.00	2053.11	29.00	1.72	1.38
FBtr0070486	FBtr0070486	827.00	645.12	27.00	5.10	4.10
FBtr0070487	FBtr0070487	2002.00	1820.11	526.00	35.25	28.30
FBtr0070488	FBtr0070488	1804.00	1622.11	158.00	11.88	9.54
FBtr0070489	FBtr0070489	966.00	784.12	1.00	0.16	0.12
FBtr0070490	FBtr0070490	2352.00	2170.11	81.00	4.55	3.65
